---,Level,PhysicalAttackBonus,StaminaRegenBonus
Dexterity_1,1,0.000000,0.000000
Dexterity_2,2,0.193867,0.029080
Dexterity_3,3,0.761982,0.114297
Dexterity_4,4,1.684115,0.252617
Dexterity_5,5,2.940036,0.441005
Dexterity_6,6,4.509516,0.676427
Dexterity_7,7,6.372326,0.955849
Dexterity_8,8,8.508235,1.276235
Dexterity_9,9,10.897014,1.634552
Dexterity_10,10,13.518434,2.027765
Dexterity_11,11,16.352265,2.452840
Dexterity_12,12,19.378277,2.906742
Dexterity_13,13,22.576240,3.386436
Dexterity_14,14,25.925926,3.888889
Dexterity_15,15,29.407104,4.411066
Dexterity_16,16,32.999545,4.949932
Dexterity_17,17,36.683019,5.502453
Dexterity_18,18,40.437297,6.065594
Dexterity_19,19,44.242148,6.636322
Dexterity_20,20,48.077345,7.211602
Dexterity_21,21,51.922655,7.788398
Dexterity_22,22,55.757852,8.363678
Dexterity_23,23,59.562703,8.934406
Dexterity_24,24,63.316981,9.497547
Dexterity_25,25,67.000455,10.050068
Dexterity_26,26,70.592896,10.588934
Dexterity_27,27,74.074074,11.111111
Dexterity_28,28,77.423760,11.613564
Dexterity_29,29,80.621723,12.093258
Dexterity_30,30,83.647735,12.547160
Dexterity_31,31,86.481566,12.972235
Dexterity_32,32,89.102986,13.365448
Dexterity_33,33,91.491765,13.723765
Dexterity_34,34,93.627674,14.044151
Dexterity_35,35,95.490484,14.323573
Dexterity_36,36,97.059964,14.558995
Dexterity_37,37,98.315885,14.747383
Dexterity_38,38,99.238018,14.885703
Dexterity_39,39,99.806133,14.970920
Dexterity_40,40,100.000000,15.000000
Dexterity_41,41,100.145000,15.036250
Dexterity_42,42,100.560000,15.140000
Dexterity_43,43,101.215000,15.303750
Dexterity_44,44,102.080000,15.520000
Dexterity_45,45,103.125000,15.781250
Dexterity_46,46,104.320000,16.080000
Dexterity_47,47,105.635000,16.408750
Dexterity_48,48,107.040000,16.760000
Dexterity_49,49,108.505000,17.126250
Dexterity_50,50,110.000000,17.500000
Dexterity_51,51,111.495000,17.873750
Dexterity_52,52,112.960000,18.240000
Dexterity_53,53,114.365000,18.591250
Dexterity_54,54,115.680000,18.920000
Dexterity_55,55,116.875000,19.218750
Dexterity_56,56,117.920000,19.480000
Dexterity_57,57,118.785000,19.696250
Dexterity_58,58,119.440000,19.860000
Dexterity_59,59,119.855000,19.963750
Dexterity_60,60,120.000000,20.000000
